station_id,requested_datetime_utc,datetime_ict,date_utc,hour_utc,hour_ict,status,message,n_levels,surface_pressure_hPa,top_pressure_hPa,max_height_m,pressure_monotonic_decreasing,temperature_valid_n,dewpoint_valid_n,wind_valid_n,wind_speed_source_unit,raw_text_file,profile_csv_file,source_endpoint
48327,2024-03-01 00:00:00,2024-03-01 07:00:00,2024-03-01,0,7,cached,existing profile CSV reused,46.0,1000.0,749.0,2812.0,True,46.0,46.0,1.0,m/s,/content/drive/MyDrive/Teaching_AirQuality/ChiangMai_Sounding_48327_MarApr2024/00_raw_text/sounding_48327_2024-03-01_00Z.txt,/content/drive/MyDrive/Teaching_AirQuality/ChiangMai_Sounding_48327_MarApr2024/01_profiles_csv/sounding_48327_2024-03-01_00Z.csv,https://weather.uwyo.edu/wsgi/sounding
48327,2024-03-01 06:00:00,2024-03-01 13:00:00,2024-03-01,6,13,error,HTTP 404,,,,,,,,,,/content/drive/MyDrive/Teaching_AirQuality/ChiangMai_Sounding_48327_MarApr2024/00_raw_text/sounding_48327_2024-03-01_06Z.txt,/content/drive/MyDrive/Teaching_AirQuality/ChiangMai_Sounding_48327_MarApr2024/01_profiles_csv/sounding_48327_2024-03-01_06Z.csv,https://weather.uwyo.edu/wsgi/sounding
48327,2024-03-01 12:00:00,2024-03-01 19:00:00,2024-03-01,12,19,error,HTTP 404,,,,,,,,,,/content/drive/MyDrive/Teaching_AirQuality/ChiangMai_Sounding_48327_MarApr2024/00_raw_text/sounding_48327_2024-03-01_12Z.txt,/content/drive/MyDrive/Teaching_AirQuality/ChiangMai_Sounding_48327_MarApr2024/01_profiles_csv/sounding_48327_2024-03-01_12Z.csv,https://weather.uwyo.edu/wsgi/sounding
48327,2024-03-02 00:00:00,2024-03-02 07:00:00,2024-03-02,0,7,downloaded,downloaded and parsed successfully,53.0,1000.0,700.0,2850.0,True,53.0,53.0,53.0,m/s,/content/drive/MyDrive/Teaching_AirQuality/ChiangMai_Sounding_48327_MarApr2024/00_raw_text/sounding_48327_2024-03-02_00Z.txt,/content/drive/MyDrive/Teaching_AirQuality/ChiangMai_Sounding_48327_MarApr2024/01_profiles_csv/sounding_48327_2024-03-02_00Z.csv,https://weather.uwyo.edu/wsgi/sounding
48327,2024-03-02 06:00:00,2024-03-02 13:00:00,2024-03-02,6,13,error,HTTP 404,,,,,,,,,,/content/drive/MyDrive/Teaching_AirQuality/ChiangMai_Sounding_48327_MarApr2024/00_raw_text/sounding_48327_2024-03-02_06Z.txt,/content/drive/MyDrive/Teaching_AirQuality/ChiangMai_Sounding_48327_MarApr2024/01_profiles_csv/sounding_48327_2024-03-02_06Z.csv,https://weather.uwyo.edu/wsgi/sounding
48327,2024-03-02 12:00:00,2024-03-02 19:00:00,2024-03-02,12,19,error,HTTP 404,,,,,,,,,,/content/drive/MyDrive/Teaching_AirQuality/ChiangMai_Sounding_48327_MarApr2024/00_raw_text/sounding_48327_2024-03-02_12Z.txt,/content/drive/MyDrive/Teaching_AirQuality/ChiangMai_Sounding_48327_MarApr2024/01_profiles_csv/sounding_48327_2024-03-02_12Z.csv,https://weather.uwyo.edu/wsgi/sounding
48327,2024-03-03 00:00:00,2024-03-03 07:00:00,2024-03-03,0,7,downloaded,downloaded and parsed successfully,63.0,1000.0,700.0,2850.0,True,63.0,63.0,63.0,m/s,/content/drive/MyDrive/Teaching_AirQuality/ChiangMai_Sounding_48327_MarApr2024/00_raw_text/sounding_48327_2024-03-03_00Z.txt,/content/drive/MyDrive/Teaching_AirQuality/ChiangMai_Sounding_48327_MarApr2024/01_profiles_csv/sounding_48327_2024-03-03_00Z.csv,https://weather.uwyo.edu/wsgi/sounding
48327,2024-03-03 06:00:00,2024-03-03 13:00:00,2024-03-03,6,13,error,HTTP 404,,,,,,,,,,/content/drive/MyDrive/Teaching_AirQuality/ChiangMai_Sounding_48327_MarApr2024/00_raw_text/sounding_48327_2024-03-03_06Z.txt,/content/drive/MyDrive/Teaching_AirQuality/ChiangMai_Sounding_48327_MarApr2024/01_profiles_csv/sounding_48327_2024-03-03_06Z.csv,https://weather.uwyo.edu/wsgi/sounding
48327,2024-03-03 12:00:00,2024-03-03 19:00:00,2024-03-03,12,19,error,HTTP 404,,,,,,,,,,/content/drive/MyDrive/Teaching_AirQuality/ChiangMai_Sounding_48327_MarApr2024/00_raw_text/sounding_48327_2024-03-03_12Z.txt,/content/drive/MyDrive/Teaching_AirQuality/ChiangMai_Sounding_48327_MarApr2024/01_profiles_csv/sounding_48327_2024-03-03_12Z.csv,https://weather.uwyo.edu/wsgi/sounding
48327,2024-03-04 00:00:00,2024-03-04 07:00:00,2024-03-04,0,7,downloaded,downloaded and parsed successfully,56.0,1000.0,700.0,3450.0,True,56.0,56.0,56.0,m/s,/content/drive/MyDrive/Teaching_AirQuality/ChiangMai_Sounding_48327_MarApr2024/00_raw_text/sounding_48327_2024-03-04_00Z.txt,/content/drive/MyDrive/Teaching_AirQuality/ChiangMai_Sounding_48327_MarApr2024/01_profiles_csv/sounding_48327_2024-03-04_00Z.csv,https://weather.uwyo.edu/wsgi/sounding
48327,2024-03-04 06:00:00,2024-03-04 13:00:00,2024-03-04,6,13,error,HTTP 404,,,,,,,,,,/content/drive/MyDrive/Teaching_AirQuality/ChiangMai_Sounding_48327_MarApr2024/00_raw_text/sounding_48327_2024-03-04_06Z.txt,/content/drive/MyDrive/Teaching_AirQuality/ChiangMai_Sounding_48327_MarApr2024/01_profiles_csv/sounding_48327_2024-03-04_06Z.csv,https://weather.uwyo.edu/wsgi/sounding
48327,2024-03-04 12:00:00,2024-03-04 19:00:00,2024-03-04,12,19,error,HTTP 404,,,,,,,,,,/content/drive/MyDrive/Teaching_AirQuality/ChiangMai_Sounding_48327_MarApr2024/00_raw_text/sounding_48327_2024-03-04_12Z.txt,/content/drive/MyDrive/Teaching_AirQuality/ChiangMai_Sounding_48327_MarApr2024/01_profiles_csv/sounding_48327_2024-03-04_12Z.csv,https://weather.uwyo.edu/wsgi/sounding
48327,2024-03-05 00:00:00,2024-03-05 07:00:00,2024-03-05,0,7,downloaded,downloaded and parsed successfully,54.0,1000.0,700.0,2800.0,True,54.0,54.0,54.0,m/s,/content/drive/MyDrive/Teaching_AirQuality/ChiangMai_Sounding_48327_MarApr2024/00_raw_text/sounding_48327_2024-03-05_00Z.txt,/content/drive/MyDrive/Teaching_AirQuality/ChiangMai_Sounding_48327_MarApr2024/01_profiles_csv/sounding_48327_2024-03-05_00Z.csv,https://weather.uwyo.edu/wsgi/sounding
48327,2024-03-05 06:00:00,2024-03-05 13:00:00,2024-03-05,6,13,error,HTTP 404,,,,,,,,,,/content/drive/MyDrive/Teaching_AirQuality/ChiangMai_Sounding_48327_MarApr2024/00_raw_text/sounding_48327_2024-03-05_06Z.txt,/content/drive/MyDrive/Teaching_AirQuality/ChiangMai_Sounding_48327_MarApr2024/01_profiles_csv/sounding_48327_2024-03-05_06Z.csv,https://weather.uwyo.edu/wsgi/sounding
48327,2024-03-05 12:00:00,2024-03-05 19:00:00,2024-03-05,12,19,error,HTTP 404,,,,,,,,,,/content/drive/MyDrive/Teaching_AirQuality/ChiangMai_Sounding_48327_MarApr2024/00_raw_text/sounding_48327_2024-03-05_12Z.txt,/content/drive/MyDrive/Teaching_AirQuality/ChiangMai_Sounding_48327_MarApr2024/01_profiles_csv/sounding_48327_2024-03-05_12Z.csv,https://weather.uwyo.edu/wsgi/sounding
48327,2024-03-06 00:00:00,2024-03-06 07:00:00,2024-03-06,0,7,downloaded,downloaded and parsed successfully,99.0,975.0,24.7,24951.0,True,99.0,99.0,98.0,m/s,/content/drive/MyDrive/Teaching_AirQuality/ChiangMai_Sounding_48327_MarApr2024/00_raw_text/sounding_48327_2024-03-06_00Z.txt,/content/drive/MyDrive/Teaching_AirQuality/ChiangMai_Sounding_48327_MarApr2024/01_profiles_csv/sounding_48327_2024-03-06_00Z.csv,https://weather.uwyo.edu/wsgi/sounding
48327,2024-03-06 06:00:00,2024-03-06 13:00:00,2024-03-06,6,13,error,HTTP 404,,,,,,,,,,/content/drive/MyDrive/Teaching_AirQuality/ChiangMai_Sounding_48327_MarApr2024/00_raw_text/sounding_48327_2024-03-06_06Z.txt,/content/drive/MyDrive/Teaching_AirQuality/ChiangMai_Sounding_48327_MarApr2024/01_profiles_csv/sounding_48327_2024-03-06_06Z.csv,https://weather.uwyo.edu/wsgi/sounding
48327,2024-03-06 12:00:00,2024-03-06 19:00:00,2024-03-06,12,19,error,HTTP 404,,,,,,,,,,/content/drive/MyDrive/Teaching_AirQuality/ChiangMai_Sounding_48327_MarApr2024/00_raw_text/sounding_48327_2024-03-06_12Z.txt,/content/drive/MyDrive/Teaching_AirQuality/ChiangMai_Sounding_48327_MarApr2024/01_profiles_csv/sounding_48327_2024-03-06_12Z.csv,https://weather.uwyo.edu/wsgi/sounding
48327,2024-03-07 00:00:00,2024-03-07 07:00:00,2024-03-07,0,7,downloaded,downloaded and parsed successfully,87.0,975.0,22.0,25657.0,True,87.0,87.0,87.0,m/s,/content/drive/MyDrive/Teaching_AirQuality/ChiangMai_Sounding_48327_MarApr2024/00_raw_text/sounding_48327_2024-03-07_00Z.txt,/content/drive/MyDrive/Teaching_AirQuality/ChiangMai_Sounding_48327_MarApr2024/01_profiles_csv/sounding_48327_2024-03-07_00Z.csv,https://weather.uwyo.edu/wsgi/sounding
48327,2024-03-07 06:00:00,2024-03-07 13:00:00,2024-03-07,6,13,error,HTTP 404,,,,,,,,,,/content/drive/MyDrive/Teaching_AirQuality/ChiangMai_Sounding_48327_MarApr2024/00_raw_text/sounding_48327_2024-03-07_06Z.txt,/content/drive/MyDrive/Teaching_AirQuality/ChiangMai_Sounding_48327_MarApr2024/01_profiles_csv/sounding_48327_2024-03-07_06Z.csv,https://weather.uwyo.edu/wsgi/sounding
48327,2024-03-07 12:00:00,2024-03-07 19:00:00,2024-03-07,12,19,error,HTTP 404,,,,,,,,,,/content/drive/MyDrive/Teaching_AirQuality/ChiangMai_Sounding_48327_MarApr2024/00_raw_text/sounding_48327_2024-03-07_12Z.txt,/content/drive/MyDrive/Teaching_AirQuality/ChiangMai_Sounding_48327_MarApr2024/01_profiles_csv/sounding_48327_2024-03-07_12Z.csv,https://weather.uwyo.edu/wsgi/sounding
48327,2024-03-08 00:00:00,2024-03-08 07:00:00,2024-03-08,0,7,downloaded,downloaded and parsed successfully,69.0,976.0,51.5,20415.0,True,69.0,69.0,68.0,m/s,/content/drive/MyDrive/Teaching_AirQuality/ChiangMai_Sounding_48327_MarApr2024/00_raw_text/sounding_48327_2024-03-08_00Z.txt,/content/drive/MyDrive/Teaching_AirQuality/ChiangMai_Sounding_48327_MarApr2024/01_profiles_csv/sounding_48327_2024-03-08_00Z.csv,https://weather.uwyo.edu/wsgi/sounding
48327,2024-03-08 06:00:00,2024-03-08 13:00:00,2024-03-08,6,13,error,HTTP 404,,,,,,,,,,/content/drive/MyDrive/Teaching_AirQuality/ChiangMai_Sounding_48327_MarApr2024/00_raw_text/sounding_48327_2024-03-08_06Z.txt,/content/drive/MyDrive/Teaching_AirQuality/ChiangMai_Sounding_48327_MarApr2024/01_profiles_csv/sounding_48327_2024-03-08_06Z.csv,https://weather.uwyo.edu/wsgi/sounding
48327,2024-03-08 12:00:00,2024-03-08 19:00:00,2024-03-08,12,19,error,HTTP 404,,,,,,,,,,/content/drive/MyDrive/Teaching_AirQuality/ChiangMai_Sounding_48327_MarApr2024/00_raw_text/sounding_48327_2024-03-08_12Z.txt,/content/drive/MyDrive/Teaching_AirQuality/ChiangMai_Sounding_48327_MarApr2024/01_profiles_csv/sounding_48327_2024-03-08_12Z.csv,https://weather.uwyo.edu/wsgi/sounding
48327,2024-03-09 00:00:00,2024-03-09 07:00:00,2024-03-09,0,7,downloaded,downloaded and parsed successfully,81.0,976.0,29.3,23817.0,True,81.0,81.0,81.0,m/s,/content/drive/MyDrive/Teaching_AirQuality/ChiangMai_Sounding_48327_MarApr2024/00_raw_text/sounding_48327_2024-03-09_00Z.txt,/content/drive/MyDrive/Teaching_AirQuality/ChiangMai_Sounding_48327_MarApr2024/01_profiles_csv/sounding_48327_2024-03-09_00Z.csv,https://weather.uwyo.edu/wsgi/sounding
48327,2024-03-09 06:00:00,2024-03-09 13:00:00,2024-03-09,6,13,error,HTTP 404,,,,,,,,,,/content/drive/MyDrive/Teaching_AirQuality/ChiangMai_Sounding_48327_MarApr2024/00_raw_text/sounding_48327_2024-03-09_06Z.txt,/content/drive/MyDrive/Teaching_AirQuality/ChiangMai_Sounding_48327_MarApr2024/01_profiles_csv/sounding_48327_2024-03-09_06Z.csv,https://weather.uwyo.edu/wsgi/sounding
48327,2024-03-09 12:00:00,2024-03-09 19:00:00,2024-03-09,12,19,error,HTTP 404,,,,,,,,,,/content/drive/MyDrive/Teaching_AirQuality/ChiangMai_Sounding_48327_MarApr2024/00_raw_text/sounding_48327_2024-03-09_12Z.txt,/content/drive/MyDrive/Teaching_AirQuality/ChiangMai_Sounding_48327_MarApr2024/01_profiles_csv/sounding_48327_2024-03-09_12Z.csv,https://weather.uwyo.edu/wsgi/sounding
48327,2024-03-10 00:00:00,2024-03-10 07:00:00,2024-03-10,0,7,downloaded,downloaded and parsed successfully,74.0,978.0,31.5,23418.0,True,74.0,74.0,73.0,m/s,/content/drive/MyDrive/Teaching_AirQuality/ChiangMai_Sounding_48327_MarApr2024/00_raw_text/sounding_48327_2024-03-10_00Z.txt,/content/drive/MyDrive/Teaching_AirQuality/ChiangMai_Sounding_48327_MarApr2024/01_profiles_csv/sounding_48327_2024-03-10_00Z.csv,https://weather.uwyo.edu/wsgi/sounding
48327,2024-03-10 06:00:00,2024-03-10 13:00:00,2024-03-10,6,13,error,HTTP 404,,,,,,,,,,/content/drive/MyDrive/Teaching_AirQuality/ChiangMai_Sounding_48327_MarApr2024/00_raw_text/sounding_48327_2024-03-10_06Z.txt,/content/drive/MyDrive/Teaching_AirQuality/ChiangMai_Sounding_48327_MarApr2024/01_profiles_csv/sounding_48327_2024-03-10_06Z.csv,https://weather.uwyo.edu/wsgi/sounding
48327,2024-03-10 12:00:00,2024-03-10 19:00:00,2024-03-10,12,19,error,HTTP 404,,,,,,,,,,/content/drive/MyDrive/Teaching_AirQuality/ChiangMai_Sounding_48327_MarApr2024/00_raw_text/sounding_48327_2024-03-10_12Z.txt,/content/drive/MyDrive/Teaching_AirQuality/ChiangMai_Sounding_48327_MarApr2024/01_profiles_csv/sounding_48327_2024-03-10_12Z.csv,https://weather.uwyo.edu/wsgi/sounding
